City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Taipei,,,,new,+1000%,+106%,-11%,-8%,+19%,+20%,+8%,+5%,-10%,-2%,+40%,+52%,+40%
New York City,,,,,new,+44%,+23%,+39%,+18%,+7%,+17%,-5%,+39%,+10%,+18%,+26%,+3%
Seoul,,,,,,,new,+1365%,+215%,-18%,+355%,+28%,+28%,+37%,+12%,-4%,-60%
London,,new,+228%,-32%,+65%,+24%,+28%,-15%,-5%,+2%,-1%,-0%,+5%,+6%,-25%,+3%,+4%
Mexico City,,new,+202%,+8%,+138%,+22%,+16%,-1%,+5%,-10%,-1%,-52%,+7%,+18%,+140%,+74%,-13%
Montreal,new,+205%,+25%,+5%,-2%,-27%,+10%,+16%,+19%,+11%,+6%,-42%,+70%,+61%,+31%,+13%,+7%
Chicago,,,,,new,+223%,+30%,+13%,+6%,-6%,+6%,-7%,+58%,+1%,+1%,+2%,-8%
Washington DC,,new,+961%,+65%,+26%,+14%,+9%,+5%,+13%,-10%,+1%,-35%,+24%,+26%,+23%,+32%,+18%
Toronto,,,,,,,,,new,+29%,+27%,+19%,+23%,+20%,+33%,+115%,-36%
Guadalajara,,,,,,new,+1860%,+100%,+167%,+35%,+36%,-38%,+11%,+32%,+2%,+8%,-2%
Boston,,,new,+276%,+71%,+31%,-5%,+10%,+6%,+35%,+43%,-18%,+42%,+28%,-2%,+29%,-3%
Helsinki,,,,,,,,new,+294%,+101%,+17%,-17%,-9%,-14%,+3%,+2%,
San Francisco,,,,,,,,,new,+259%,+35%,-18%,-1%,+28%,-2%,+31%,+31%
Oslo,,,,,,,,new,+13%,-42%,+234%,-24%,-16%,-9%,-13%,+2%,-3%
Philadelphia,,,,,,,new,+52%,-8%,+11%,+11%,-1%,+30%,-6%,+20%,+17%,+7%
Daejeon,,,,,,,,,,,,,,,,new,+158%
Vancouver,,,,,,,,,,new,+274%,-36%,+23%,+23%,+54%,-8%,-29%
Jersey City,,,,,,,new,+368%,+19%,+20%,+14%,-17%,+91%,+39%,+10%,+6%,-5%
Rosario,,,,,,,,,,,new,-20%,+50%,+11%,-19%,-73%,
Bergen,,,,,,,,,,new,+806%,+9%,-36%,-19%,-13%,-14%,-25%
Los Angeles,,,,,,,,new,+132%,+36%,-7%,-28%,+5%,+31%,+52%,+18%,-16%
Austin,,,,,new,+10521%,+17%,+10%,-3%,+105%,-72%,-5%,+120%,+42%,-10%,-50%,
Pittsburgh,,,,,,,new,+36%,-7%,+5%,+24%,-1%,+14%,-21%,+141%,+64%,+6%
Trondheim,,,,,,,,,,new,+245%,-61%,-1%,+9%,-8%,+33%,-15%
Chattanooga,,,,new,+228%,+6%,+3%,+4%,+5%,-0%,+38%,+20%,+10%,-8%,-3%,+8%,
Columbus,,,,,new,+61%,-5%,+10%,+11%,-22%,-48%,+136%,-13%,+23%,+22%,-5%,-97%
