city,date,source(s),notes,newspaper_articles
Austin,"December 21, 2013",https://en.wikipedia.org/wiki/Austin_B-cycle,"Launched as Austin B-cycle with 11 stations/110 bikes.","[""Austin Chronicle: https://www.austinchronicle.com/news/austin-bike-share-rolls-out-11759274/"", ""Community Impact: https://communityimpact.com/austin/news/2013/11/13/austin-b-cycle-announces-december-roll-out/"", ""KUT (Austin NPR): https://www.kut.org/transportation/2013-12-20/b-cycle-austins-bike-share-program-rolls-out-saturday""]"
Bergen,"July 2018",https://urbaninfrastructure.no/bergen-bysykkel-as/?lang=en,"First permanent, year-round scheme (Bergen City Bike).","[""Bergens Tidende: https://www.bt.no/nyheter/lokalt/i/A2M3Mr/bysyklene-rammet-av-leveringssvikt"", ""Bergensavisen (BA): https://www.ba.no/bysykler/bergen/nyheter/her-er-de-nye-bysklene-kommet/s/5-8-818452"", ""Bergen kommune official notice: https://www.bergen.kommune.no/hvaskjer/bymiljo/firedoblet-antall-bysykkelturer-i-april""]"
Boston,"July 28, 2011",https://bluebikes.com/about,"Launched as Hubway; renamed Bluebikes in 2018.","[""Boston Globe: https://www.bostonglobe.com/metro/2011/09/05/early-success-hub-bike-sharing-surprises-even-program-backers/vt2QfAjEy47Fnt6U1vXicL/story.html"", ""WBUR: https://www.wbur.org/news/2011/07/28/boston-bike-share-program"", ""Boston.gov (city announcement): https://www.boston.gov/news/ten-years-public-bike-share-celebrated-week""]"
Chattanooga,"July 23-24, 2012",https://www.chattanoogan.com/2012/7/24/230882/Bike-Chattanooga-Announces-Full.aspx,"Launched as Bike Chattanooga.","[""Chattanooga Times Free Press: https://timesfreepress.com/news/news/story/2012/apr/20/chattanooga-unveils-bike-share-program/75969"", ""Chattanooga Times Free Press (10-yr retro): https://www.timesfreepress.com/news/2022/jul/28/bike-chattanoogboosts-ridership-over-10-years/"", ""Chattanoogan.com: https://www.chattanoogan.com/2012/7/24/230882/Bike-Chattanooga-Announces-Full.aspx""]"
Columbus,"July 30, 2013",https://en.wikipedia.org/wiki/CoGo,"Launched as CoGo Bike Share; system ended Feb 2025.","[""Columbus Dispatch (via AOL syndication): https://www.aol.com/columbus-funding-cogo-bike-share-110814762.html"", ""Columbus Underground: https://columbusunderground.com/cogo-bike-share-ending-service-this-month-we1/"", ""Clintonville Spotlight: https://www.clintonvillespotlight.com/articles/cogo-presents-plans-to-crank-up-bike-use/""]"
Chicago,"June 28, 2013",https://en.wikipedia.org/wiki/Divvy,"Launched as Divvy.","[""Chicago Sun-Times: https://chicago.suntimes.com/news/divvy-bikes-data-148-million-rides-map-bikeshare"", ""Chicago Sun-Times: https://chicago.suntimes.com/news/divvy-expanding-on-south-and-west-sides-even-the-suburbs"", ""WTTW (Chicago PBS, Chicago Tonight): https://www.pbs.org/video/chicago-tonight-june-26-2013-bikes-all""]"
Daejeon,"October 21, 2008 (corrected from prior answer)","https://namu.wiki/w/%ED%83%80%EC%8A%88 ; http://usjournal.kr/news/newsview.php?ncode=1065601748151630","CORRECTED: launched as manned rental system 'It's Bike' on Oct 21, 2008 (unmanned system followed ~2009-2010 via ETRI). Nov 2007 was only the 'bicycle city' policy declaration, not the system launch.","[""Ulsan Journal (교통 정책 비교 기사): http://usjournal.kr/news/newsview.php?ncode=1065601748151630"", ""Busan Ilbo: https://www.busan.com/view/busan/view.php?code=2023090116051641434"", ""Note: could not locate a contemporaneous (2008) newspaper article in this search session; above are retrospective pieces from Korean outlets.""]"
Guadalajara,"December 1, 2014",https://www.milenio.com/comunidad/mibici-entre-la-consolidacion-y-los-retos-viales-en-el-amg,"Launched as MiBici.","[""El Informador (contemporaneous, Dec 1 2014): https://www.informador.mx/Jalisco/Inicia-programa-MiBici-20141201-0064.html"", ""El Informador (Oct 14 2014, first station preview): https://www.informador.mx/Jalisco/Cinco-claves-que-debes-saber-para-ser-usuario-de-MiBici-20141014-0020.html"", ""El Informador (anniversary retrospective): https://www.informador.mx/jalisco/MiBici-crece-con-60-nuevas-estaciones-piden-ampliacion-a-Tonala-y-Tlajomulco-20250105-0021.html""]"
Jersey City,"September 21, 2015",https://njbikeped.org/jersey-citys-new-citi-bike-stations-how-to-benefit-all-neighborhoods-equally/,"Launched as Citi Bike Jersey City, interoperable with NYC Citi Bike.","[""Next City: https://nextcity.org/urbanist-news/jersey-city-launches-bike-share"", ""Riverview Observer (local JC outlet, contemporaneous): https://riverviewobserver.net/general/citi-bike-program-launches-in-jersey-city/"", ""NJ Bicycle & Pedestrian Resource Center (cites Jersey Journal reporting): https://njbikeped.org/jersey-citys-new-citi-bike-stations-how-to-benefit-all-neighborhoods-equally/""]"
Helsinki,"2000",https://en.wikipedia.org/wiki/Helsinki_City_Bikes,"Original coin-deposit 'City Bikes' scheme ran 2000-2010. Modern relaunch was May 2, 2016.","[""Yle (Finnish national broadcaster, retrospective): https://yle.fi/aihe/artikkeli/2016/04/26/vandalismi-ja-varkaudet-koituivat-helsingin-ensimmaisten-kaupunkipyorien"", ""Note: contemporaneous year-2000 newspaper coverage was not locatable in this search session (predates most online newspaper archives); Yle piece is the best sourced historical account found.""]"
