year,trips,trips_accuracy,trips_notes,sources,sources_notes
2007,11800000,"estimated, Jul 15 - Dec 31","ESTIMATE (partial launch year, service began 15 Jul 2007). No standalone Jul-Dec 2007 figure was ever published. MILESTONE-INTERPOLATION METHOD: using dated cumulative milestones - 1,000,000 rentals by 2 Aug 2007 (Le Moniteur/AFP) and ~26,000,000 by the 1-year mark (~15 Jul 2008) - linear interpolation places cumulative trips at ~11,800,000 by 31 Dec 2007. Independent floor check: 6,000,000 rides in the first 3 months (to mid-Oct 2007, Spiegel/YaleGlobal) plus Oct-Dec implies ~9-12M. Both approaches converge near ~11.8M. Still an estimate.","Le Moniteur (AFP), 3 Aug 2007 (1M at 18 days), https://www.lemoniteur.fr/article/un-million-de-locations-de-velib-depuis-son-lancement-le-15-juillet.461249 ; Spiegel via YaleGlobal, 13 Nov 2007 (6M in 3 months), https://archive-yaleglobal.yale.edu/content/vive-la-velorution ; NBC News (AP), 30 Jul 2007, https://www.nbcnews.com/news/amp/wbna20053077","French primary: Le Moniteur (joint Mairie de Paris/JCDecaux release). English: Spiegel/YaleGlobal, AP via NBC. All are milestone/cumulative figures, not a calendar total. Weakest cell in the table alongside no others now - present as estimate."
2008,28700000,"estimated, calendar year","ESTIMATE via milestone interpolation. Cumulative model built from dated milestones: ~11.8M (31 Dec 2007) rising to ~40.65M (interpolated 31 Dec 2008, between the 26M 1-year mark of Jul 2008 and the 41M mark of 4 Jan 2009). Calendar-2008 = 40.65M - 11.9M = ~28,700,000. Cross-check: JCDecaux daily rate ~75,000-86,000/day in this window x365 = ~27-31M. Consistent.","Fr primary: velobuc reproducing the 1-year press kit (>26M rolling), http://velobuc.free.fr/velib.html ; Batiweb (41M cumulative by 4 Jan 2009), https://www.batiweb.com/actualites/vie-pratique/boulogne-billancourt-premier-relais-du-velib-en-banlieue-12433 ; Les Echos ""Velib a un an: quel bilan?"", 30 Jun 2008 (via fr.wikipedia). English: TRID/TRB (75,000 trips/day, Jul 2008), https://trid.trb.org/view.aspx?id=883706 ; NYC DOT bike-share report (27.5M first year), https://www.nyc.gov/assets/planning/download/pdf/plans/transportation/bike_share_part3.pdf","Interpolated between the 26M (mid-2008) and 41M (Jan 2009) cumulative anchors - both well-sourced dated milestones, so 2008 is now reasonably well constrained (~28.7M). Note 26M/27.5M are ROLLING 12-month figures, not calendar 2008; the calendar figure is the differenced ~28.7M."
2009,24700000,"estimated, calendar year","ESTIMATE via milestone interpolation. Cumulative ~40.65M (31 Dec 2008) to ~65.45M (31 Dec 2009, interpolated between the 55M mark of 7 Aug 2009 and the 85M mark of 30 Sep 2010). Calendar-2009 = ~24,700,000. Two independent primary anchors bracket this: 41M (4 Jan 2009) and 55M (7 Aug 2009), plus NPR's ""more than 50M in two years"" (early Aug 2009).","Fr primary: Batiweb (41M, 4 Jan 2009), https://www.batiweb.com/actualites/vie-pratique/boulogne-billancourt-premier-relais-du-velib-en-banlieue-12433 ; Mairie de Paris statement 7 Aug 2009 (55M) via fr.wikipedia, https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole ; Le Figaro 23 Nov 2009 (vandalism context, via fr.wikipedia). English: NPR, 3 Aug 2009 (>50M in two years), https://www.npr.org/2009/08/03/111487751/rental-bikes-in-paris-prove-popular-with-vandals","Well-bracketed by two dated primary milestones (41M Jan, 55M Aug 2009) and corroborated by NPR. The ~24.7M estimate is one of the more reliable derived figures."
2010,25000000,"estimated, calendar year","ESTIMATE via milestone interpolation. Cumulative ~65.45M (31 Dec 2009) to ~90.5M (31 Dec 2010, interpolated between 85M of 30 Sep 2010 and 100M of 6 Jun 2011). Calendar-2010 = ~25,000,000. Note: 2010 followed a harsh winter that cut subscriber numbers (Le Parisien, ""Le coup de pompe de Velib'"", 19 Sep 2010), so the true figure may sit at the lower end of a ~23-25M range.","Fr primary: Le Parisien 19 Sep 2010 (85M cumulative Jul2007-Sep2010) via fr.wikipedia, https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole ; paris.fr ""cent millionieme"" 6 Jun 2011 (100M). English: ULI report (daily-ridership context), https://uli.org/wp-content/uploads/ULI-Documents/Bicycle-Sharing.pdf",Bracketed by the 85M (Sep 2010) and 100M (Jun 2011) milestones. The Le Parisien 85M figure reached only via fr.wikipedia citation (Le Parisien archive paywalled). English 2-source quota not fully met.
2011,29100000,"estimated, calendar year","ESTIMATE via milestone interpolation. Cumulative ~90.5M (31 Dec 2010) to ~119.7M (31 Dec 2011, interpolated between 100M of 6 Jun 2011 and 173M of 15 Jul 2013). Calendar-2011 = ~29,100,000. Cross-check: English Wikipedia gives avg daily ridership 85,811 for 2011; x365 = 31.3M (slightly higher, likely a peak-period daily figure). Q1 2011 was ~5.5M (best quarter to date, fr.wikipedia). Range ~29-31M.","Fr primary: paris.fr 6 Jun 2011 (100M cumulative) via fr.wikipedia; ""Bilan des deplacements a Paris en 2011"", Mairie de Paris 19 Dec 2012, https://opendata.paris.fr/pages/bilan-des-deplacements-parisiens/ ; Le Monde 23 Jun 2012 (110,000/day, 224,000 subscribers) via fr.wikipedia. English: English Wikipedia (85,811 avg daily 2011), https://en.wikipedia.org/wiki/V%C3%A9lib' ; ULI report, https://uli.org/wp-content/uploads/ULI-Documents/Bicycle-Sharing.pdf",Two methods agree within ~7%: milestone interpolation ~29.1M vs daily-average x365 = 31.3M. Use ~29-31M. The 100M and 173M cumulative anchors that bracket it are both solid.
2012,34144859,reported figure; interpolation cross-checks to ~34.6M,"REPORTED FIGURE, now CROSS-VALIDATED. Cited as ""34 144 859 trajets en 2012"" by a Paris deputy-mayor (Julien Bargeton) citing city/operator data. INDEPENDENT CHECK: the milestone-interpolation model (100M Jun 2011 -> 173M Jul 2013) implies ~34,600,000 for calendar 2012 - within 1.3% of the reported figure. The two independent methods agreeing strongly corroborates 34.1M.","Fr primary: Julien Bargeton (Paris deputy mayor) blog citing city data, Jan 2014, http://julienbargeton.net/a-paris-pour-le-velo-il-y-a-un-avant-et-un-apres-velib/ ; Le Monde 23 Jun 2012 (110,000/day) via fr.wikipedia, https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole . English: English Wikipedia (173M cumulative mid-2013 bounds it), https://en.wikipedia.org/wiki/V%C3%A9lib'",Reported figure now backed by an independent interpolation (~34.6M). ATTEMPTED UPGRADE to the official 2012 Bilan PDF failed - paris.fr keeps only 2021+ Bilans online; older PDFs held by OMNIL/APUR/TEMIS which all block automated fetching. Figure retained on deputy-mayor source + interpolation cross-check.
2013,35021933,reported figure; interpolation cross-checks to ~36.6M,"REPORTED FIGURE, CROSS-VALIDATED. ""Record annuel avec 35 021 933 trajets en 2013"" (triple-record year: daily record 149,489 on 24 Sep 2013; annual record; >255,000 subscribers), per the same deputy-mayor source. INDEPENDENT CHECK: milestone interpolation (100M Jun 2011 -> 173M Jul 2013 -> 292M Aug 2016) implies ~36,600,000 for calendar 2013 - within ~4.5% of reported. Consistent.","Fr primary: Julien Bargeton (Paris deputy mayor) blog, Jan 2014, http://julienbargeton.net/a-paris-pour-le-velo-il-y-a-un-avant-et-un-apres-velib/ . English: English Wikipedia / Wikiwand (173M cumulative at 6th anniversary, mid-2013), https://en.wikipedia.org/wiki/V%C3%A9lib' ; https://www.wikiwand.com/en/articles/Velib'","Reported figure backed by independent interpolation (~36.6M, ~4.5% higher). Same failed-upgrade note as 2012 (official 2013 Bilan PDF not retrievable). The 173M cumulative is the mid-2013 anchor itself, so 2013 straddles it."
2014,39400000,"operator-data-backed estimate, calendar year","DERIVED FROM OPERATOR DATA (upgraded from pure interpolation). The APUR ""Etude d'opportunite d'un Velib metropolitain"" (Dec 2015) reproduces JC Decaux's 2014 daily average for the FULL Velib perimeter: 108,055 ""prises"" (bike pick-ups) per day across 1,238 stations (98,022/day for the 1,006 Paris-intramuros stations). One pick-up = one trip start, so ~108,055 trips/day. As a full-YEAR average x365 = 39,440,075 ~= 39,400,000. Cross-checks: (a) APUR states a Velib was used 6.2x/day in 2014 -> 108,055/6.2 = ~17,400 bikes in circulation, consistent with ~19,000 fleet minus vandalized/in-repair; (b) milestone interpolation gave ~38.9M (within 1.3%); (c) ULI's ""108,117 avg daily 2014"" traces to this same JC Decaux source. DEFINITIONAL CAVEAT: ""prises"" counts all pick-ups; the post-2018 official series counts ""courses >3 min"", so this may run slightly higher than a >3-min-filtered figure.","Fr primary (operator data): APUR ""Etude d'opportunite d'un Velib metropolitain"", Dec 2015, p.7 & p.16 - JC Decaux 2014 data (108,055 prises/day full perimeter; 6.2 trips/bike/day), https://www.apur.org/sites/default/files/documents/opportunite_velib_metropolitain.pdf ; milestone anchors via fr.wikipedia (173M/292M cumulative), https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole . English: ULI report (108,117 avg daily 2014, same JC Decaux origin), https://uli.org/wp-content/uploads/ULI-Documents/Bicycle-Sharing.pdf","UPGRADED: now backed by JC Decaux operator data (via APUR), not just interpolation. Three lines of evidence (operator daily avg, 6.2 trips/bike, interpolation) converge on ~39.4M. Best-supported pre-2018 year. Note the ""prises"" vs "">3 min courses"" definitional difference may make this marginally higher than the later official counting basis."
2015,38900000,"estimated, calendar year","ESTIMATE via milestone interpolation. Falls inside the 173M (Jul 2013) -> 292M (Aug 2016) interval, run-rate ~39.0M/yr, giving calendar-2015 = ~38,900,000. Mature JCDecaux period, roughly flat usage (fleet ~21,278 bikes / ~1,800 stations by 2015, ULI). The APUR study (Dec 2015) was obtained and checked directly: it contains ONLY January-April 2015 station-level data (not a full-year 2015 total), so it cannot pin down calendar 2015. This remains a pure interpolation, anchored between the operator-backed 2014 (~39.4M) and the 292M/324M cumulative marks.","Fr primary: APUR ""Etude d'opportunite d'un Velib metropolitain"" Dec 2015 (Q1 2015 station data only; confirms 2014 = 108,055 prises/day), https://www.apur.org/sites/default/files/documents/opportunite_velib_metropolitain.pdf ; milestone anchors via fr.wikipedia (173M/292M), https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole . English: ULI report (2015 fleet size), https://uli.org/wp-content/uploads/ULI-Documents/Bicycle-Sharing.pdf","No primary source states a 2015 calendar count - CONFIRMED after directly reading the APUR study, which only has Q1 2015 station data. Interpolation only; bracketed by the operator-backed 2014 (~39.4M) and the 292M cumulative (Aug 2016). This is now a closed question: the exact 2015 figure would require the official 2015 Bilan des deplacements PDF (held by OMNIL, not machine-fetchable)."
2016,36800000,"estimated, calendar year","ESTIMATE via milestone interpolation. Cumulative ~305.98M (31 Dec 2016, interpolated between 292M of ~Aug 2016 and 324M of 15 Jul 2017). Calendar-2016 = ~36,800,000. The 292M cumulative is a solid dated primary anchor (Le Parisien, citing the Hotel de Ville inspection report, Aug 2016), and 2016 also saw the 300,000-subscriber record (France Info, 5 Aug 2016).","Fr primary: Europe1 citing Le Parisien on the Inspection Generale report (292M cumulative + 300k subscribers, Aug 2016), https://www.europe1.fr/economie/a-paris-le-cout-excessif-des-velib-pointe-dans-un-rapport-2845171 ; France Info 5 Aug 2016 (300,000 subscribers) via fr.wikipedia, https://fr.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole . English: (no 2016 calendar total located).","Bracketed by two strong dated milestones (292M Aug 2016, 324M Jul 2017), so ~36.8M is reasonably constrained. English 2-source quota not met. No calendar-year integer was ever published for 2016."
